ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
4090,B,Road,5,3,236,2,medium,M,6,1329
3775,D,Ship,4,2,204,2,low,F,1,4533
10519,D,Ship,3,2,198,2,medium,M,8,5889
6391,D,Ship,4,5,219,2,high,M,4,4069
9997,D,Flight,3,1,265,3,medium,F,10,4244
3466,B,Ship,4,4,202,3,medium,M,2,4299
9735,A,Flight,3,5,223,4,high,F,7,5042
10123,D,Road,3,4,174,2,low,F,4,4295
8880,F,Road,5,2,239,5,medium,F,6,1310
3333,A,Ship,3,1,187,5,low,F,6,4698
4952,F,Ship,5,4,250,2,low,F,10,4277
9213,A,Ship,4,5,188,3,medium,M,8,4125
3021,A,Flight,3,3,253,4,medium,F,57,2489
4234,B,Road,4,5,259,3,medium,M,3,4741
6182,F,Flight,3,4,201,3,high,M,7,4887
8223,A,Flight,4,2,203,4,medium,F,9,4217
6306,F,Flight,5,1,272,6,medium,F,2,1681
9265,D,Ship,4,3,255,4,medium,F,10,4740
675,A,Road,4,5,202,3,low,F,6,2616
10246,B,Ship,5,5,197,4,low,F,7,4141
6057,A,Ship,4,4,210,2,medium,M,8,5942
5299,D,Ship,5,4,187,3,low,F,1,4181
5737,D,Road,4,5,188,3,low,M,4,4632
5823,A,Ship,5,2,229,2,medium,M,1,5724
5987,C,Ship,5,2,265,3,low,M,8,5447
3012,F,Flight,4,5,157,4,medium,F,12,1038
7713,A,Ship,6,2,269,4,medium,F,3,1665
3375,A,Ship,4,1,157,2,medium,M,3,5801
6820,B,Ship,6,5,261,4,low,F,9,1266
6045,A,Flight,4,3,266,5,high,F,5,1590
1444,B,Ship,5,3,184,4,medium,F,2,3798
7293,A,Ship,3,2,221,2,medium,M,10,4715
10511,C,Ship,3,2,195,2,high,M,2,4669
5909,C,Ship,3,3,199,5,medium,F,10,4847
8284,B,Ship,2,5,142,3,high,M,10,5174
5941,D,Ship,4,5,212,2,medium,M,10,4552
3369,A,Ship,4,2,296,2,medium,F,2,1233
8145,A,Ship,4,5,266,3,medium,F,2,4867
4302,F,Ship,3,2,204,2,high,F,2,5526
1877,C,Ship,3,4,188,3,medium,F,49,3221
4179,A,Ship,3,2,150,3,low,M,1,5825
6000,F,Ship,6,3,244,4,medium,M,5,1108
5297,C,Ship,3,1,137,5,low,F,8,4980
386,F,Road,2,5,182,2,medium,F,57,2896
946,B,Road,2,2,163,3,medium,M,35,1547
7241,C,Road,4,5,148,3,high,F,6,5473
10448,F,Ship,6,5,268,4,low,M,7,1600
3083,C,Ship,3,4,210,2,medium,M,29,3142
2772,F,Ship,6,5,249,5,medium,M,26,3897
366,F,Ship,3,2,234,3,medium,M,39,2099
7222,B,Ship,3,1,268,4,medium,F,4,5006
958,B,Flight,3,1,265,4,low,M,50,2249
6742,B,Ship,3,2,209,2,medium,F,2,4635
4530,F,Flight,4,5,142,10,high,F,5,4147
9821,C,Ship,4,2,161,2,high,F,8,5654
8920,B,Flight,4,4,248,5,medium,M,2,1651
140,F,Flight,5,1,237,2,low,F,10,3860
6805,D,Ship,4,4,182,3,high,F,7,5197
2429,C,Ship,4,5,192,3,medium,F,41,3873
4041,A,Ship,3,2,228,3,medium,F,4,4208
10536,F,Road,4,1,211,3,medium,F,7,4083
10931,C,Ship,4,4,253,5,low,F,2,1709
230,F,Ship,3,3,162,7,medium,F,42,1278
5121,A,Ship,5,2,176,3,low,M,9,5656
10429,D,Flight,4,5,185,2,low,F,4,5428
176,F,Ship,4,4,150,2,medium,M,3,1285
4150,B,Ship,3,1,241,2,low,M,8,5602
4280,F,Ship,4,3,191,3,medium,M,1,4219
4661,C,Flight,4,4,239,2,medium,M,4,4304
3435,A,Flight,4,3,267,4,low,M,7,5140
5999,C,Ship,6,2,266,4,low,F,9,1220
8414,F,Ship,4,3,257,3,low,M,8,4447
8451,A,Ship,4,3,214,2,medium,F,6,4345
5599,D,Road,4,2,245,3,medium,F,2,4835
9753,A,Ship,2,3,258,2,low,M,4,5052
4098,F,Road,6,1,139,5,medium,M,1,4243
5233,D,Ship,3,3,259,3,medium,F,4,4259
3777,A,Ship,4,4,257,10,medium,M,4,4710
6911,C,Ship,5,5,240,5,medium,M,10,1574
9500,F,Ship,2,2,156,4,high,M,9,4184
10145,C,Flight,5,1,233,5,medium,M,4,1622
81,A,Ship,3,4,180,2,medium,F,49,1942
3119,C,Ship,2,4,182,4,medium,M,1,3624
8114,F,Ship,3,2,210,3,medium,M,8,4011
10124,F,Road,4,2,162,6,low,F,4,4094
2909,C,Ship,3,4,154,2,low,M,29,1016
10259,C,Road,3,3,155,3,medium,M,5,4957
7795,D,Road,4,2,209,2,medium,M,3,5607
1362,F,Road,3,4,240,3,low,F,28,2356
10461,A,Ship,4,2,267,5,low,M,3,1933
6689,C,Road,3,1,236,6,medium,F,10,4858
7342,B,Ship,3,1,155,3,medium,F,2,5446
10493,C,Ship,4,1,153,3,medium,M,5,5952
8808,F,Ship,4,4,224,3,medium,F,1,4231
8088,F,Flight,4,1,164,3,high,F,1,5492
5027,C,Ship,6,3,256,5,low,F,1,1980
8477,C,Road,5,1,258,6,low,F,7,4344
4519,D,Flight,4,4,244,2,medium,F,7,5543
5982,F,Ship,4,2,170,6,medium,M,10,4891
7082,F,Ship,4,3,260,3,low,F,5,5540
8067,A,Road,3,1,256,4,low,M,6,4814
138,F,Flight,3,5,162,2,medium,M,7,1739
5455,D,Road,5,5,132,2,high,F,1,4233
1336,B,Ship,4,2,256,2,medium,M,10,3128
4127,C,Flight,4,3,249,3,low,M,5,5017
8276,F,Ship,5,4,262,3,medium,F,6,4428
5712,F,Ship,4,5,189,3,medium,F,3,5193
2842,B,Ship,4,2,180,3,low,M,3,1518
5409,A,Ship,3,1,267,3,low,M,5,5528
497,C,Ship,4,2,216,3,low,F,12,2273
5724,F,Ship,4,5,233,4,low,F,6,1495
2300,F,Ship,4,1,229,3,medium,F,20,2891
8161,D,Ship,4,3,209,5,medium,M,6,4384
98,F,Ship,4,1,271,2,medium,F,8,2401
9845,C,Road,2,2,174,3,low,F,3,5348
5031,A,Ship,6,3,281,4,medium,F,7,1599
2758,B,Ship,3,1,231,2,low,M,44,3688
7575,A,Ship,3,5,270,3,medium,M,5,4843
1842,F,Ship,3,4,136,2,medium,F,54,1056
2327,C,Flight,2,5,202,3,low,M,50,2587
201,A,Ship,2,3,139,3,low,M,9,1471
3129,A,Road,3,1,169,3,high,M,24,1740
2691,A,Ship,5,1,236,4,high,F,64,3231
5641,D,Ship,4,2,227,5,medium,M,6,4618
447,A,Ship,4,4,173,5,medium,F,51,1691
9096,F,Ship,7,2,305,4,medium,M,7,1813
1104,F,Flight,3,3,104,5,medium,F,41,1936
2207,C,Flight,2,1,111,3,medium,M,16,1882
4656,F,Flight,5,2,102,5,medium,F,3,4784
10252,B,Road,3,1,267,2,low,F,9,5744
8,F,Flight,4,1,233,2,low,F,48,2804
433,D,Ship,6,4,205,3,low,F,44,2064
139,D,Flight,4,1,207,5,low,M,48,2399
6879,A,Ship,5,1,237,5,medium,F,2,1429
3721,D,Ship,4,5,224,2,low,M,6,4994
3200,F,Ship,4,4,301,5,low,M,6,1931
604,B,Ship,3,1,162,2,low,F,52,1125
7328,F,Ship,3,3,165,2,low,M,8,5813
2609,C,Flight,5,1,265,3,medium,M,6,2452
6611,C,Ship,6,4,283,4,medium,M,1,1384
9477,A,Ship,3,3,133,3,low,F,2,4926
5869,D,Road,3,3,145,3,medium,M,1,5709
6865,D,Flight,4,3,255,5,low,M,1,1192
10548,F,Flight,2,5,156,5,medium,M,7,5780
10057,D,Ship,4,5,160,3,low,F,9,5799
6039,A,Flight,7,1,255,5,medium,M,10,1238
3234,F,Ship,2,5,159,3,low,M,5,4190
5174,F,Ship,3,3,211,3,medium,M,7,5185
10412,F,Flight,5,1,245,5,low,F,7,1092
5697,A,Ship,3,1,183,2,low,M,5,5329
6017,C,Road,5,3,249,4,medium,M,1,1014
9103,D,Ship,4,4,226,5,low,M,1,1761
2973,A,Ship,3,4,228,2,medium,M,46,3306
9005,C,Ship,4,2,195,2,medium,M,10,4640
217,D,Ship,4,3,185,3,medium,M,3,3131
2814,F,Ship,4,4,127,4,high,M,54,1239
6436,B,Flight,3,5,189,2,low,M,8,4567
4918,B,Road,4,5,244,4,medium,F,2,5365
3776,F,Ship,4,2,283,7,high,F,9,5252
5116,B,Ship,3,2,207,3,medium,F,1,4369
8712,F,Ship,4,5,223,3,low,M,9,5649
8648,F,Flight,6,1,285,4,low,F,3,1448
2542,B,Ship,5,3,156,2,low,M,1,1147
233,C,Ship,5,5,134,2,medium,M,53,1088
5385,A,Ship,5,4,248,4,medium,F,5,4271
3606,F,Ship,4,1,276,2,medium,M,3,1966
5215,D,Flight,6,2,291,4,low,M,8,1019
10549,D,Flight,3,4,199,3,medium,M,10,4925
7480,B,Ship,4,5,273,5,medium,F,7,1409
50,F,Ship,5,3,216,3,low,F,40,2146
7947,A,Flight,3,5,255,7,medium,M,8,4091
116,F,Road,3,4,176,3,high,M,36,1779
7715,C,Ship,5,2,228,5,low,M,6,1726
8573,C,Ship,4,4,234,2,medium,F,8,5744
6241,D,Ship,5,4,280,4,low,M,10,5156
3017,C,Flight,5,5,195,3,low,M,55,2641
585,A,Ship,3,3,163,2,medium,F,48,1369
2124,F,Ship,3,2,238,2,low,F,29,3728
9541,D,Ship,5,1,189,2,medium,M,8,5219
9421,D,Ship,6,2,292,4,medium,M,2,1149
9810,F,Ship,2,4,246,2,low,M,10,5337
7370,F,Ship,5,4,211,2,medium,F,7,4734
9092,F,Ship,4,3,251,5,medium,M,2,1482
4601,C,Ship,3,5,256,3,low,M,7,4366
1596,F,Ship,4,3,158,3,medium,F,27,1207
6695,C,Road,5,3,261,4,medium,F,5,4623
728,F,Ship,4,3,179,3,low,M,45,1903
7504,B,Ship,4,2,265,5,low,M,8,1555
1078,B,Road,4,3,252,2,medium,F,51,2658
7193,C,Ship,4,4,229,6,low,M,2,1279
205,D,Ship,2,5,155,3,low,M,23,1602
8181,A,Ship,3,1,189,2,low,F,5,4738
2959,D,Ship,4,2,220,3,high,F,39,2459
4631,C,Ship,5,2,230,2,medium,M,9,4483
8939,C,Ship,5,3,162,4,low,F,6,1968
9219,A,Ship,3,3,224,4,medium,M,10,4147
10184,F,Ship,5,3,233,5,medium,F,3,1398
634,B,Ship,2,3,164,2,low,M,56,1491
9142,B,Ship,5,3,240,5,low,M,6,1489
10981,D,Ship,4,4,261,5,low,F,4,1649
6204,F,Ship,4,5,201,8,medium,F,4,5472
10479,A,Ship,4,1,204,4,low,F,3,1667
1041,A,Ship,2,1,189,2,high,M,48,2429
9286,B,Ship,3,2,253,2,low,M,8,5608
4535,C,Flight,4,5,108,10,medium,F,7,5928
2378,F,Ship,3,2,167,4,medium,M,49,1973
448,B,Ship,3,4,194,3,medium,M,3,2169
3217,D,Ship,3,4,154,2,medium,M,5,5735
1686,F,Ship,4,4,162,3,medium,M,41,1104
10390,B,Road,4,5,185,2,low,M,6,4610
9427,D,Road,6,5,245,4,low,M,3,1716
10767,A,Ship,5,2,264,5,medium,M,4,1318
4746,F,Ship,3,2,144,3,high,M,1,5307
4653,A,Road,5,1,238,4,medium,M,10,4668
10802,F,Road,5,3,234,5,low,M,7,1691
3871,D,Ship,3,2,211,3,high,M,7,4145
4334,F,Ship,5,4,255,6,low,M,3,4638
9407,C,Ship,4,1,274,5,low,F,5,1581
2728,B,Road,4,4,208,2,high,F,20,2759
8598,F,Ship,5,1,226,5,medium,M,3,1409
7319,C,Ship,5,2,158,3,medium,M,2,5221
1273,D,Ship,3,5,257,3,low,F,52,2170
4663,D,Flight,5,2,279,4,low,F,8,4418
1145,C,Ship,4,1,118,5,low,M,50,1413
6518,F,Ship,3,5,270,3,high,F,7,4459
4107,A,Flight,6,1,274,5,low,F,8,4292
6149,C,Road,4,5,242,2,medium,F,5,4806
8905,D,Flight,6,4,270,4,low,F,10,1698
2143,D,Ship,3,5,199,3,medium,F,62,3259
8448,F,Ship,3,3,157,4,medium,F,7,4487
1462,B,Ship,4,4,218,2,medium,M,27,2824
830,F,Flight,5,4,223,3,low,F,40,2074
5540,F,Ship,3,3,226,3,low,M,4,5048
9495,A,Ship,4,5,199,4,medium,M,1,5585
7083,A,Ship,4,5,98,4,low,F,5,4643
10319,C,Ship,2,5,243,3,medium,F,9,4182
8479,D,Road,3,4,260,5,low,M,2,4461
10076,F,Ship,4,4,221,4,low,F,2,5595
9543,A,Ship,3,1,242,5,low,F,3,4026
6990,F,Flight,3,1,187,2,low,F,8,4292
8294,F,Ship,4,5,177,7,low,F,2,4299
1914,F,Flight,4,3,246,2,low,M,60,2086
2645,C,Ship,4,3,264,2,low,F,38,3877
3970,B,Flight,4,5,214,3,high,F,1,4004
7669,D,Flight,5,3,269,5,low,F,3,1667
1629,A,Road,4,2,140,3,medium,F,49,1820
3168,F,Flight,3,2,129,3,high,M,9,4342
2945,C,Ship,5,4,273,3,low,F,60,3384
8046,F,Ship,5,1,307,4,low,M,8,1511
1626,F,Road,4,4,236,7,medium,M,62,2280
2971,D,Ship,4,3,184,3,low,F,37,3436
3662,F,Ship,4,1,271,2,low,F,1,4866
790,B,Ship,3,2,138,3,medium,F,34,1159
7207,D,Ship,7,3,305,4,medium,F,3,1426
8180,F,Ship,4,3,225,2,low,M,2,4520
7166,F,Ship,7,5,289,4,low,F,5,1864
1758,F,Road,4,3,217,3,low,M,51,3144
6934,B,Ship,4,5,161,2,high,F,5,5133
49,D,Ship,5,4,190,2,medium,M,9,3753
10655,C,Ship,5,1,251,4,low,M,1,5011
9166,B,Road,5,2,227,6,medium,F,6,1620
4209,A,Ship,4,2,224,3,low,F,3,5967
9713,C,Road,6,1,280,4,low,F,5,1624
10010,F,Flight,4,1,269,3,low,F,3,4409
1605,A,Ship,2,2,145,2,low,M,1,1126
1398,F,Ship,4,2,238,3,low,F,28,1040
8663,C,Ship,7,5,293,4,low,F,2,1080
3878,F,Ship,4,3,250,6,medium,M,7,5115
10494,F,Ship,3,3,151,3,low,M,9,5082
6099,A,Ship,5,5,153,5,medium,M,10,5297
7522,B,Road,2,2,247,3,medium,F,9,4284
2201,C,Flight,5,2,116,5,high,F,56,1130
1945,D,Ship,4,4,184,3,low,F,52,3128
1484,F,Road,4,4,151,3,medium,F,6,1930
1025,C,Ship,3,2,221,3,low,F,21,3686
46,B,Ship,5,1,210,3,low,F,9,2944
3797,C,Ship,6,4,237,5,medium,F,10,5434
7479,A,Ship,5,5,245,5,low,F,1,1924
2849,C,Ship,4,2,274,2,medium,M,55,3416
7722,F,Ship,5,1,229,6,low,M,9,1883
4621,D,Ship,3,3,169,3,low,F,9,4317
7223,C,Ship,4,2,244,5,low,F,7,5337
2806,B,Ship,3,2,192,3,medium,F,64,3233
6980,F,Road,3,5,139,3,low,F,1,4060
1735,D,Ship,5,4,241,3,medium,M,40,3484
2279,C,Ship,3,1,268,3,low,F,47,2479
10290,F,Flight,5,5,156,2,low,F,8,4817
5614,B,Flight,5,5,173,3,low,M,4,5265
3213,A,Ship,4,5,243,3,low,F,2,4909
10387,D,Road,3,2,180,6,medium,M,3,5780
2602,B,Flight,4,2,238,3,low,M,30,3423
8720,F,Ship,4,4,265,4,medium,F,6,4607
9212,F,Ship,3,2,151,2,low,F,3,4759
8523,A,Ship,3,5,233,2,medium,M,1,4913
1426,B,Ship,5,2,239,2,medium,F,15,2471
6442,B,Flight,4,1,224,3,low,M,9,5546
5833,D,Ship,4,3,251,3,high,M,8,5986
5879,C,Road,4,2,268,3,medium,M,1,4927
9516,F,Ship,3,1,150,2,low,F,6,5697
5901,A,Flight,4,4,164,2,low,M,7,5456
10891,D,Ship,4,3,188,4,medium,M,7,4024
10418,F,Flight,3,1,158,5,low,M,9,1537
9195,A,Flight,4,2,258,5,low,F,8,1878
3690,F,Road,4,3,266,3,low,M,9,5621
1262,F,Ship,4,1,258,3,medium,F,4,3686
9380,F,Ship,6,1,144,4,low,F,5,5121
1236,F,Flight,3,2,169,2,medium,F,19,1922
8380,B,Ship,4,1,200,3,medium,F,5,4120
2894,F,Flight,4,1,226,3,low,M,42,3077
6008,F,Road,6,1,306,4,low,M,1,1210
1544,F,Ship,3,4,212,2,medium,F,56,3976
4773,A,Road,5,3,269,3,low,F,8,4811
2471,C,Flight,5,5,169,2,medium,F,14,1497
4732,B,Ship,6,3,274,6,medium,F,2,4281
396,F,Road,4,4,183,3,low,M,29,3251
3458,F,Ship,4,5,136,3,low,F,1,4585
5300,F,Ship,4,3,287,4,low,M,6,5889
3882,F,Ship,3,2,157,3,high,F,1,5398
956,F,Flight,4,5,209,8,medium,F,59,2948
8756,F,Road,5,3,160,3,low,F,10,4416
8731,D,Ship,4,3,175,2,medium,M,3,4961
9257,C,Ship,5,3,273,4,medium,M,1,5119
4816,B,Ship,7,2,248,4,medium,F,1,1163
5499,A,Ship,7,3,281,4,low,M,1,1215
8836,B,Ship,5,2,225,5,low,M,5,1015
8440,B,Ship,4,1,284,4,low,F,4,4795
125,C,Road,5,5,222,3,low,M,10,2280
6755,C,Ship,4,1,160,5,low,F,10,4018
10782,F,Ship,4,2,267,5,medium,F,2,1307
454,B,Ship,4,1,275,10,medium,F,23,2726
7804,B,Road,4,1,260,3,low,M,9,4239
4140,F,Ship,4,3,201,2,low,F,4,4955
5379,A,Ship,5,4,203,2,high,F,2,4190
6577,D,Flight,6,5,260,4,low,F,2,1221
4654,B,Flight,5,3,234,3,low,F,6,4632
1013,C,Ship,3,3,205,2,medium,F,54,2427
290,F,Flight,4,2,172,3,medium,F,59,1858
3355,D,Ship,4,4,161,4,low,M,5,5038
1532,F,Ship,3,4,271,2,low,M,14,2163
9527,C,Ship,4,2,241,6,medium,M,5,4880
6073,D,Ship,4,4,259,3,low,M,3,4509
2882,F,Flight,4,1,164,2,medium,F,3,1124
6831,A,Road,7,1,275,4,medium,M,7,1754
8279,C,Ship,3,1,186,2,low,F,1,5054
2999,C,Road,5,1,271,4,low,F,4,2718
8110,B,Ship,4,3,160,2,low,M,5,4522
1260,F,Ship,5,1,144,2,low,F,20,1082
593,C,Ship,3,2,260,3,medium,F,2,2176
7585,D,Ship,3,5,146,5,low,F,3,5489
541,D,Road,3,3,172,3,medium,F,42,1707
1582,B,Ship,5,1,167,2,low,M,62,1884
3791,C,Ship,4,2,245,2,low,M,8,5871
4064,F,Ship,3,5,193,3,medium,F,9,4982
9486,F,Ship,3,5,98,3,medium,F,3,5553
795,A,Ship,4,5,255,4,low,M,14,3099
8649,A,Ship,5,5,272,4,medium,M,10,1383
2906,F,Ship,4,2,232,3,high,M,46,2835
4289,C,Ship,4,2,151,3,medium,M,10,5698
5521,D,Ship,6,5,301,4,medium,F,2,1943
7790,F,Road,3,3,153,3,low,F,3,4829
10326,F,Ship,3,2,188,5,medium,M,7,5673
4574,F,Ship,4,4,185,3,medium,M,9,4469
7896,F,Ship,3,1,220,2,low,F,7,5653
4921,D,Road,4,3,208,3,medium,F,3,4837
10817,C,Road,3,3,176,3,medium,M,9,5575
8403,A,Ship,4,1,186,3,low,F,6,4758
4810,B,Flight,2,5,198,2,medium,M,4,1913
1372,B,Flight,5,4,268,3,medium,M,6,2206
10350,F,Ship,4,4,185,3,low,F,2,5288
10714,B,Ship,5,5,221,5,low,F,8,1123
5158,B,Ship,4,2,274,2,low,M,10,4361
618,F,Ship,5,3,245,2,medium,F,8,3231
10560,F,Flight,4,5,134,3,medium,M,3,5000
4920,F,Road,2,1,228,2,medium,M,10,4854
10198,B,Ship,5,5,245,5,low,M,5,1252
5106,F,Ship,4,3,149,6,medium,M,5,5456
9476,F,Ship,3,1,270,2,medium,M,6,4966
10527,A,Road,4,1,204,6,low,M,1,4943
6543,A,Ship,7,5,296,4,low,F,2,1823
4284,F,Ship,6,1,246,6,low,F,9,5466
9285,A,Ship,5,4,235,3,low,M,3,4411
2696,F,Ship,5,1,224,2,low,F,14,2959
4088,F,Road,3,5,268,2,medium,M,5,1707
6661,D,Ship,4,1,261,3,low,F,10,5943
8583,A,Ship,5,5,271,2,medium,M,6,4788
1965,A,Ship,6,5,212,4,medium,F,13,3676
3843,A,Flight,5,4,172,2,low,M,5,4554
1943,C,Ship,4,2,194,4,medium,F,26,3818
10269,A,Road,4,5,198,3,low,M,2,4272
4133,C,Ship,4,5,165,3,high,M,5,4735
7351,D,Ship,4,2,262,3,low,M,2,4015
2962,B,Ship,4,3,202,3,low,F,48,2213
